gene_id	tissue	expression
ENSG00000142615.7	Pancreas	2792
ENSG00000142615.7	Pancreas	2574
ENSG00000142615.7	Pancreas	102.5
ENSG00000142615.7	Pancreas	3374
ENSG00000142615.7	Pancreas	1048
ENSG00000142615.7	Pancreas	6232
ENSG00000142615.7	Pancreas	4484
ENSG00000142615.7	Pancreas	6664
ENSG00000142615.7	Pancreas	1.598e+04
ENSG00000142615.7	Pancreas	8339
ENSG00000142615.7	Pancreas	6674
ENSG00000142615.7	Pancreas	191.7
ENSG00000142615.7	Pancreas	7782
ENSG00000142615.7	Pancreas	1735
ENSG00000142615.7	Pancreas	7836
ENSG00000142615.7	Pancreas	6122
ENSG00000142615.7	Pancreas	2372
ENSG00000142615.7	Pancreas	1520
ENSG00000142615.7	Pancreas	5547
ENSG00000142615.7	Pancreas	1349
ENSG00000142615.7	Pancreas	4433
ENSG00000142615.7	Pancreas	2752
ENSG00000142615.7	Pancreas	7392
ENSG00000142615.7	Pancreas	4346
ENSG00000142615.7	Pancreas	3753
ENSG00000142615.7	Pancreas	1.578e+04
ENSG00000142615.7	Pancreas	9224
ENSG00000142615.7	Pancreas	3924
ENSG00000142615.7	Pancreas	8679
ENSG00000142615.7	Pancreas	8949
ENSG00000142615.7	Pancreas	8572
ENSG00000142615.7	Pancreas	6870
ENSG00000142615.7	Pancreas	1782
ENSG00000142615.7	Pancreas	7137
ENSG00000142615.7	Pancreas	1.378e+04
ENSG00000142615.7	Pancreas	1.086e+04
ENSG00000142615.7	Pancreas	1406
ENSG00000142615.7	Pancreas	2848
ENSG00000142615.7	Pancreas	4059
ENSG00000142615.7	Pancreas	8309
ENSG00000142615.7	Pancreas	2815
ENSG00000142615.7	Pancreas	2518
ENSG00000142615.7	Pancreas	7605
ENSG00000142615.7	Pancreas	643.2
ENSG00000142615.7	Pancreas	2376
ENSG00000142615.7	Pancreas	7449
ENSG00000142615.7	Pancreas	3996
ENSG00000142615.7	Pancreas	1.716e+04
ENSG00000142615.7	Pancreas	5290
ENSG00000142615.7	Pancreas	2963
ENSG00000142615.7	Pancreas	6691
ENSG00000142615.7	Pancreas	6799
ENSG00000142615.7	Pancreas	7690
